name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Jaylen Brown,BOS,SF,27,70,70,33.5,23.0,5.5,1.2,4.3,3.6,1.2,0.5,2.4,9.0,17.9,.499,2.1,5.9,.354,3.0,4.3,.703
Zion Williamson,NOP,PF,23,70,70,31.5,22.9,5.8,1.7,4.1,5.0,1.1,0.7,2.8,8.9,15.6,.570,0.1,0.3,.333,5.0,7.1,.702
Cade Cunningham,DET,PG,22,62,62,33.5,22.7,4.3,0.5,3.8,7.5,0.9,0.4,3.4,8.5,18.8,.449,1.9,5.4,.355,3.8,4.4,.869
Paolo Banchero,ORL,PF,21,80,80,35.0,22.6,6.9,1.0,5.9,5.4,0.9,0.6,3.1,8.0,17.6,.455,1.5,4.4,.339,5.1,7.0,.725
Paul George,LAC,PF,33,74,74,33.8,22.6,5.2,0.5,4.7,3.5,1.5,0.5,2.1,7.9,16.7,.471,3.3,7.9,.413,3.6,3.9,.907
Anfernee Simons,POR,SG,24,46,46,34.4,22.6,3.6,0.5,3.2,5.5,0.5,0.1,2.7,7.8,18.2,.430,3.4,8.8,.385,3.5,3.9,.916
Jaren Jackson Jr.,MEM,C,24,66,66,32.2,22.5,5.5,1.3,4.2,2.3,1.2,1.6,2.4,7.8,17.6,.444,1.8,5.5,.320,5.1,6.3,.808
Dejounte Murray,ATL,SG,27,78,78,35.7,22.5,5.3,0.8,4.5,6.4,1.4,0.3,2.6,8.6,18.8,.459,2.6,7.1,.363,2.7,3.4,.794
Cam Thomas,BRK,SG,22,66,51,31.4,22.5,3.2,0.4,2.8,2.9,0.7,0.2,1.9,8.0,18.0,.442,2.2,6.0,.364,4.3,5.1,.856
Kyle Kuzma,WAS,PF,28,70,70,32.6,22.2,6.6,0.9,5.7,4.2,0.5,0.7,2.7,8.7,18.8,.463,2.2,6.4,.336,2.7,3.4,.775
Karl-Anthony Towns,MIN,PF,28,62,62,32.7,21.8,8.3,1.5,6.8,3.0,0.7,0.7,2.9,7.7,15.3,.504,2.2,5.3,.416,4.1,4.7,.873
Pascal Siakam,2TM,PF,29,80,80,33.2,21.7,7.1,1.7,5.3,4.3,0.8,0.3,1.8,8.5,15.9,.536,1.1,3.1,.346,3.6,5.0,.732
Victor Wembanyama,SAS,C,20,71,71,29.7,21.4,10.6,2.3,8.4,3.9,1.2,3.6,3.7,7.8,16.7,.465,1.8,5.5,.325,4.1,5.2,.796
Jamal Murray,DEN,PG,26,59,59,31.5,21.2,4.1,0.7,3.4,6.5,1.0,0.7,2.1,8.0,16.7,.481,2.5,5.8,.425,2.7,3.1,.853
Alperen Şengün,HOU,C,21,63,63,32.5,21.1,9.3,2.9,6.4,5.0,1.2,0.7,2.6,8.4,15.6,.537,0.5,1.8,.297,3.9,5.6,.693
Miles Bridges,CHO,SF,25,69,67,37.4,21.0,7.3,1.0,6.3,3.3,0.9,0.5,2.0,8.1,17.5,.462,2.3,6.5,.349,2.5,3.1,.825
Jerami Grant,POR,PF,29,54,54,33.9,21.0,3.5,0.7,2.9,2.8,0.8,0.6,2.1,7.1,15.7,.451,2.1,5.1,.402,4.7,5.8,.817
Jimmy Butler,MIA,PF,34,60,60,34.0,20.8,5.3,1.8,3.6,5.0,1.3,0.3,1.7,6.6,13.2,.499,1.0,2.4,.414,6.6,7.7,.858
Tyler Herro,MIA,SG,24,42,40,33.5,20.8,5.3,0.5,4.8,4.5,0.7,0.1,2.2,7.7,17.5,.441,3.1,7.9,.396,2.3,2.6,.856
Brandon Ingram,NOP,SF,26,64,64,32.9,20.8,5.1,0.7,4.4,5.7,0.8,0.6,2.5,7.8,15.9,.492,1.3,3.8,.355,3.8,4.8,.801
RJ Barrett,2TM,SG,23,58,58,31.7,20.2,5.4,0.9,4.5,3.3,0.5,0.4,2.2,7.5,15.2,.495,1.6,4.3,.360,3.6,5.0,.715
Tyrese Haliburton,IND,PG,23,69,68,32.2,20.1,3.9,0.5,3.4,10.9,1.2,0.7,2.3,7.2,15.2,.477,2.8,7.8,.364,2.8,3.3,.855
Kristaps Porziņģis,BOS,C,28,57,57,29.6,20.1,7.2,1.7,5.5,2.0,0.7,1.9,1.6,6.8,13.2,.516,1.9,5.1,.375,4.5,5.3,.858
CJ McCollum,NOP,PG,32,66,66,32.7,20.0,4.3,0.6,3.7,4.6,0.9,0.6,1.7,7.3,16.0,.459,3.6,8.4,.429,1.7,2.1,.827
Scottie Barnes,TOR,SG,22,60,60,34.9,19.9,8.2,2.4,5.9,6.1,1.3,1.5,2.8,7.5,15.7,.475,1.7,4.9,.341,3.3,4.2,.781
Terry Rozier,2TM,SG,29,61,60,33.4,19.8,4.0,0.6,3.5,5.6,1.0,0.3,1.7,7.2,16.4,.443,2.4,6.7,.363,2.8,3.2,.869
Franz Wagner,ORL,SF,22,72,72,32.5,19.7,5.3,1.0,4.3,3.7,1.1,0.4,1.9,7.3,15.2,.482,1.3,4.6,.281,3.8,4.4,.850
Mikal Bridges,BRK,SF,27,82,82,34.8,19.6,4.5,0.8,3.7,3.6,1.0,0.4,2.0,6.9,15.8,.436,2.7,7.2,.372,3.1,3.9,.814
Jalen Green,HOU,SG,21,82,82,31.7,19.6,5.2,0.5,4.7,3.5,0.8,0.3,2.3,6.9,16.2,.423,2.5,7.4,.332,3.5,4.3,.804
Zach LaVine,CHI,SG,28,25,23,34.9,19.5,5.2,0.3,4.8,3.9,0.8,0.3,2.1,6.8,15.0,.452,2.4,6.8,.349,3.5,4.1,.854
Devin Vassell,SAS,SG,23,68,62,33.1,19.5,3.8,0.4,3.4,4.1,1.1,0.3,1.6,7.3,15.5,.472,2.4,6.6,.372,2.4,3.0,.801
Domantas Sabonis,SAC,C,27,82,82,35.7,19.4,13.7,3.6,10.1,8.2,0.9,0.6,3.3,7.7,13.0,.594,0.4,1.1,.379,3.6,5.1,.704
Bam Adebayo,MIA,C,26,71,71,34.0,19.3,10.4,2.2,8.1,3.9,1.1,0.9,2.3,7.5,14.3,.521,0.2,0.6,.357,4.1,5.5,.755
Coby White,CHI,PG,23,79,78,36.5,19.1,4.5,0.6,4.0,5.1,0.7,0.2,2.1,6.8,15.3,.447,2.6,7.0,.376,2.8,3.3,.838
Jalen Williams,OKC,PF,22,71,71,31.3,19.1,4.0,0.5,3.5,4.5,1.1,0.6,1.7,7.5,14.0,.540,1.5,3.4,.427,2.5,3.1,.814
Collin Sexton,UTA,SG,25,78,51,26.6,18.7,2.6,0.9,1.7,4.9,0.8,0.2,2.1,6.5,13.3,.487,1.6,4.2,.394,4.1,4.7,.859
Bradley Beal,PHO,SG,30,53,53,33.3,18.2,4.4,1.0,3.4,5.0,1.0,0.5,2.5,7.1,13.9,.513,1.9,4.4,.430,2.1,2.5,.813
Darius Garland,CLE,PG,24,57,57,33.4,18.0,2.7,0.5,2.1,6.5,1.3,0.1,3.1,6.6,14.8,.446,2.3,6.2,.371,2.6,3.1,.834
D'Angelo Russell,LAL,PG,27,76,69,32.7,18.0,3.1,0.4,2.7,6.3,0.9,0.5,2.1,6.5,14.2,.456,3.0,7.2,.415,2.1,2.5,.828
Nikola Vučević,CHI,C,33,76,74,34.3,18.0,10.5,2.8,7.8,3.3,0.7,0.8,1.6,7.7,15.9,.484,1.2,4.1,.294,1.4,1.7,.822
Klay Thompson,GSW,SF,33,77,63,29.7,17.9,3.3,0.5,2.8,2.3,0.6,0.5,1.5,6.4,14.7,.432,3.5,9.0,.387,1.6,1.8,.927
Jordan Poole,WAS,SG,24,78,66,30.1,17.4,2.7,0.4,2.3,4.4,1.1,0.3,2.4,6.3,15.2,.413,2.4,7.2,.326,2.5,2.8,.877
Fred VanVleet,HOU,PG,29,73,73,36.8,17.4,3.8,0.5,3.4,8.1,1.4,0.8,1.7,5.8,13.9,.416,3.1,8.0,.387,2.7,3.1,.860
Brandon Miller,CHO,SF,21,74,68,32.2,17.3,4.3,0.8,3.4,2.4,0.9,0.6,1.8,6.4,14.6,.440,2.5,6.7,.373,1.9,2.3,.827
Tobias Harris,PHI,PF,31,70,70,33.8,17.2,6.5,1.1,5.3,3.1,1.0,0.7,1.3,6.6,13.6,.487,1.3,3.7,.353,2.7,3.0,.878
Jordan Clarkson,UTA,SG,31,55,19,30.6,17.1,3.4,0.9,2.5,5.0,0.6,0.1,2.7,6.1,14.8,.413,1.7,5.6,.294,3.2,3.7,.881
Myles Turner,IND,C,27,77,77,27.0,17.1,6.9,1.5,5.5,1.3,0.5,1.9,1.4,6.2,11.8,.524,1.5,4.2,.358,3.2,4.1,.773
Immanuel Quickley,2TM,SG,24,68,38,29.2,17.0,3.8,0.3,3.6,4.9,0.7,0.1,1.5,5.7,13.1,.434,2.5,6.4,.395,3.1,3.6,.853
Bogdan Bogdanović,ATL,SG,31,79,33,30.4,16.9,3.4,0.7,2.8,3.1,1.2,0.3,1.4,6.0,13.9,.428,3.0,8.1,.374,1.9,2.1,.921
Deandre Ayton,POR,C,25,55,55,32.4,16.7,11.1,3.2,7.9,1.6,1.0,0.8,1.8,7.8,13.6,.570,0.0,0.2,.100,1.2,1.4,.823
Michael Porter Jr.,DEN,SF,25,81,81,31.7,16.7,7.0,1.3,5.7,1.5,0.5,0.7,1.1,6.4,13.3,.484,2.7,6.8,.397,1.1,1.4,.836
James Harden,LAC,PG,34,72,72,34.3,16.6,5.1,0.5,4.7,8.5,1.1,0.8,2.6,4.9,11.4,.428,2.6,6.8,.381,4.2,4.8,.878
Jarrett Allen,CLE,C,25,77,77,31.7,16.5,10.5,3.2,7.4,2.7,0.7,1.1,1.6,6.7,10.6,.634,0.0,0.1,.000,3.0,4.1,.742
Chet Holmgren,OKC,C,21,82,82,29.4,16.5,7.9,1.6,6.3,2.4,0.6,2.3,1.6,6.2,11.6,.530,1.6,4.3,.370,2.7,3.4,.793
Jonathan Kuminga,GSW,PF,21,74,46,26.3,16.1,4.8,1.2,3.6,2.2,0.7,0.5,1.6,6.2,11.6,.529,0.7,2.2,.321,3.0,4.0,.746
Jalen Johnson,ATL,SF,22,56,52,33.7,16.0,8.7,1.3,7.4,3.6,1.2,0.8,1.8,6.4,12.5,.511,1.3,3.6,.355,1.9,2.6,.728
Austin Reaves,LAL,SG,25,82,57,32.1,15.9,4.3,0.7,3.6,5.5,0.8,0.3,2.1,5.6,11.5,.486,1.9,5.1,.367,2.8,3.3,.853
Shaedon Sharpe,POR,SG,20,32,25,33.1,15.9,5.0,1.3,3.7,2.9,0.9,0.4,2.3,5.5,13.6,.406,1.9,5.6,.333,3.1,3.7,.824
Malcolm Brogdon,POR,PG,31,39,25,28.7,15.7,3.8,0.7,3.1,5.5,0.7,0.2,1.5,5.6,12.7,.440,2.1,5.1,.412,2.4,3.0,.819
Keldon Johnson,SAS,SF,24,69,27,29.5,15.7,5.5,1.4,4.1,2.8,0.7,0.3,1.4,5.7,12.5,.454,1.8,5.3,.346,2.5,3.2,.792
Evan Mobley,CLE,PF,22,50,50,30.6,15.7,9.4,2.2,7.1,3.2,0.9,1.4,1.8,6.4,11.0,.580,0.4,1.2,.373,2.5,3.4,.719
De'Andre Hunter,ATL,SF,26,57,37,29.5,15.6,3.9,0.5,3.4,1.5,0.7,0.3,1.5,5.3,11.6,.459,2.1,5.3,.385,2.9,3.4,.847
Donte DiVincenzo,NYK,SG,27,81,63,29.1,15.5,3.7,0.8,2.9,2.7,1.3,0.4,1.4,5.5,12.4,.443,3.5,8.7,.401,1.1,1.4,.754
Jaden Ivey,DET,SG,21,77,61,28.8,15.4,3.4,1.1,2.3,3.8,0.7,0.5,2.5,5.4,12.6,.429,1.6,4.8,.336,2.9,3.9,.749
Malik Monk,SAC,SG,25,72,0,26.0,15.4,2.9,0.4,2.6,5.1,0.6,0.5,2.1,5.5,12.4,.443,2.1,5.9,.350,2.4,2.8,.829
Kelly Oubre Jr.,PHI,SF,28,68,52,30.2,15.4,5.0,1.4,3.6,1.5,1.1,0.7,1.3,5.7,12.9,.441,1.5,4.8,.311,2.6,3.4,.750
Bojan Bogdanović,2TM,PF,34,57,27,25.9,15.2,2.7,0.4,2.3,1.7,0.5,0.1,1.8,5.4,11.9,.454,2.3,5.9,.398,2.1,2.6,.785
Keegan Murray,SAC,SF,23,77,77,33.6,15.2,5.5,1.4,4.1,1.7,1.0,0.8,0.8,5.8,12.7,.454,2.4,6.6,.358,1.3,1.6,.831
Derrick White,BOS,SG,29,73,73,32.6,15.2,4.2,0.7,3.5,5.2,1.0,1.2,1.5,5.3,11.5,.461,2.7,6.8,.396,1.9,2.1,.901
John Collins,UTA,PF,26,68,66,28.0,15.1,8.5,2.3,6.1,1.1,0.6,0.9,1.4,5.8,11.0,.532,1.3,3.4,.371,2.2,2.7,.795
Khris Middleton,MIL,SF,32,55,55,27.0,15.1,4.7,0.7,3.9,5.3,0.9,0.3,2.3,5.8,11.7,.493,1.7,4.5,.381,1.8,2.2,.833
Trey Murphy III,NOP,SF,23,57,23,29.6,14.8,4.9,0.7,4.2,2.2,0.9,0.5,0.6,4.8,10.9,.443,3.0,7.8,.380,2.2,2.6,.815
OG Anunoby,2TM,SF,26,50,50,34.0,14.7,4.2,0.9,3.2,2.1,1.4,0.7,1.6,5.6,11.5,.489,2.0,5.3,.382,1.3,1.8,.753
Deni Avdija,WAS,SF,23,75,75,30.1,14.7,7.2,1.1,6.1,3.8,0.8,0.5,2.1,5.4,10.7,.506,1.2,3.1,.374,2.7,3.6,.740
GG Jackson II,MEM,PF,19,48,18,25.7,14.6,4.1,1.1,3.0,1.2,0.6,0.5,1.4,5.0,11.7,.428,2.1,6.0,.357,2.4,3.2,.752
Bennedict Mathurin,IND,SF,21,59,19,26.1,14.5,4.0,1.0,2.9,2.0,0.6,0.2,1.6,5.0,11.2,.446,1.4,3.6,.374,3.1,3.8,.821
Marcus Smart,MEM,PG,29,20,20,30.3,14.5,2.7,0.3,2.4,4.3,2.1,0.3,3.1,5.1,11.9,.430,2.1,6.7,.313,2.2,2.8,.768
Tim Hardaway Jr.,DAL,SF,31,79,12,26.8,14.4,3.2,0.3,2.9,1.8,0.5,0.1,0.9,5.0,12.4,.402,2.7,7.6,.353,1.8,2.1,.852
Dennis Schröder,2TM,PG,30,80,58,31.1,14.0,3.0,0.5,2.5,6.1,0.8,0.2,1.9,5.0,11.6,.435,1.7,4.6,.375,2.2,2.7,.836
Rudy Gobert,MIN,C,31,76,76,34.1,14.0,12.9,3.8,9.2,1.3,0.7,2.1,1.6,5.3,8.1,.661,0.0,0.0,.000,3.3,5.1,.638
Scoot Henderson,POR,PG,19,62,32,28.5,14.0,3.1,0.9,2.3,5.4,0.8,0.2,3.4,5.0,12.9,.385,1.4,4.3,.325,2.7,3.3,.819
Caris LeVert,CLE,SG,29,68,10,28.8,14.0,4.1,0.6,3.5,5.1,1.1,0.5,1.7,5.1,12.1,.421,1.6,4.9,.325,2.3,3.0,.766
Aaron Gordon,DEN,PF,28,73,73,31.5,13.9,6.5,2.4,4.1,3.5,0.8,0.6,1.4,5.5,9.8,.556,0.5,1.9,.290,2.4,3.7,.658
Norman Powell,LAC,SG,30,76,3,26.2,13.9,2.6,0.2,2.4,1.1,0.6,0.3,0.9,4.9,10.1,.486,2.2,5.1,.435,1.9,2.3,.831
Jalen Duren,DET,C,20,61,60,29.1,13.8,11.6,3.1,8.5,2.4,0.5,0.8,2.1,5.7,9.2,.619,0.0,0.1,.000,2.3,3.0,.790
Bobby Portis,MIL,PF,28,82,4,24.5,13.8,7.4,1.7,5.7,1.3,0.8,0.4,1.1,5.7,11.2,.508,1.2,3.0,.407,1.2,1.5,.790
Saddiq Bey,ATL,SF,24,63,51,32.7,13.7,6.5,2.7,3.9,1.5,0.8,0.2,0.9,4.6,11.1,.416,1.8,5.7,.316,2.7,3.2,.837
Jabari Smith Jr.,HOU,PF,20,76,76,31.9,13.7,8.1,1.8,6.3,1.6,0.7,0.8,1.2,5.0,11.0,.454,1.8,5.0,.363,2.0,2.4,.811
Gary Trent Jr.,TOR,SG,25,71,41,28.1,13.7,2.6,0.4,2.3,1.7,1.1,0.1,0.7,5.1,11.9,.426,2.5,6.4,.393,1.0,1.4,.771
Rui Hachimura,LAL,PF,25,68,39,26.9,13.6,4.3,0.9,3.5,1.2,0.6,0.4,0.7,5.3,9.9,.537,1.4,3.4,.422,1.5,2.0,.739
Grayson Allen,PHO,SG,28,75,74,33.5,13.5,3.9,0.6,3.3,3.0,0.9,0.6,1.3,4.5,9.1,.499,2.7,5.9,.461,1.7,2.0,.878
Naz Reid,MIN,PF,24,81,14,24.2,13.5,5.2,0.9,4.3,1.3,0.8,0.9,1.4,5.0,10.5,.477,2.1,5.0,.414,1.3,1.8,.736
Cameron Johnson,BRK,PF,27,58,47,27.6,13.4,4.3,0.9,3.4,2.4,0.8,0.3,1.0,4.8,10.7,.446,2.4,6.1,.391,1.5,1.9,.789
Corey Kispert,WAS,SF,24,80,22,25.8,13.4,2.8,0.4,2.4,2.0,0.5,0.2,1.2,4.8,9.9,.486,2.3,6.0,.383,1.4,2.0,.726
Andrew Wiggins,GSW,SF,28,71,59,27.0,13.2,4.5,1.5,3.0,1.7,0.6,0.6,1.2,5.0,11.0,.453,1.3,3.6,.358,2.0,2.7,.751
Keyonte George,UTA,PG,20,75,44,27.0,13.0,2.8,0.2,2.6,4.4,0.5,0.1,2.5,4.3,10.9,.391,2.0,5.9,.334,2.5,3.0,.848
P.J. Washington,2TM,PF,25,73,45,30.4,12.9,5.6,1.2,4.5,1.9,1.0,0.8,1.3,4.8,11.1,.436,1.8,5.7,.320,1.4,2.0,.683
Scotty Pippen Jr.,MEM,PG,23,21,16,25.1,12.9,3.2,1.0,2.1,4.7,1.7,0.5,2.7,4.8,9.7,.493,1.4,3.4,.417,2.0,2.6,.745
Duncan Robinson,MIA,SF,29,68,36,28.0,12.9,2.5,0.2,2.3,2.8,0.7,0.2,1.4,4.5,9.9,.450,2.8,7.0,.395,1.2,1.3,.889
Dillon Brooks,HOU,SF,28,72,72,30.9,12.7,3.4,0.7,2.7,1.7,0.9,0.1,1.2,4.6,10.7,.428,1.8,5.1,.359,1.7,2.0,.844
Mark Williams,CHO,C,22,19,19,26.7,12.7,9.7,4.0,5.7,1.2,0.8,1.1,0.9,5.2,7.9,.649,0.0,0.0, ,2.4,3.4,.719
Jalen Suggs,ORL,SG,22,75,75,27.0,12.6,3.1,0.6,2.4,2.7,1.4,0.6,1.8,4.5,9.5,.471,2.0,5.1,.397,1.6,2.1,.756
Jrue Holiday,BOS,PG,33,69,69,32.8,12.5,5.4,1.2,4.2,4.8,0.9,0.8,1.8,4.8,10.0,.480,2.0,4.7,.429,0.9,1.0,.833
Brook Lopez,MIL,C,35,79,79,30.5,12.5,5.2,1.5,3.7,1.6,0.5,2.4,1.0,4.6,9.6,.485,1.9,5.1,.366,1.4,1.7,.821
Josh Giddey,OKC,SG,21,80,80,25.1,12.3,6.4,1.4,5.0,4.8,0.6,0.6,2.1,5.0,10.6,.475,1.0,3.0,.337,1.3,1.6,.806
Cam Whitmore,HOU,SF,19,47,2,18.7,12.3,3.8,0.9,2.9,0.7,0.6,0.4,1.0,4.5,9.9,.454,1.7,4.7,.359,1.6,2.4,.679
Harrison Barnes,SAC,PF,31,82,82,29.0,12.2,3.0,0.8,2.2,1.2,0.7,0.1,0.7,4.2,8.9,.474,1.8,4.7,.387,1.9,2.4,.801
Ayo Dosunmu,CHI,SG,24,76,37,29.1,12.2,2.8,0.7,2.1,3.2,0.9,0.5,1.4,4.7,9.5,.501,1.6,3.9,.403,1.1,1.4,.810
Javonte Green,CHI,SF,30,9,5,25.6,12.2,7.4,2.2,5.2,0.6,1.1,0.9,0.8,5.0,8.3,.600,1.1,3.0,.370,1.1,1.4,.769
Aaron Nesmith,IND,SF,24,72,47,27.7,12.2,3.8,0.9,2.9,1.5,0.9,0.7,0.9,4.4,8.8,.496,1.9,4.6,.419,1.5,1.9,.781
Max Strus,CLE,SF,27,70,70,32.0,12.2,4.8,0.9,3.9,4.0,0.9,0.4,1.6,4.3,10.4,.418,2.4,6.8,.351,1.1,1.4,.794
Jonas Valančiūnas,NOP,C,31,82,82,23.5,12.2,8.8,2.3,6.5,2.1,0.4,0.8,1.4,4.9,8.8,.559,0.5,1.5,.308,2.0,2.5,.785
Buddy Hield,2TM,SF,31,84,42,25.7,12.1,3.2,0.7,2.5,2.8,0.8,0.5,1.2,4.4,10.1,.436,2.6,6.8,.386,0.6,0.7,.881
Tyus Jones,WAS,PG,27,66,66,29.3,12.0,2.7,0.3,2.4,7.3,1.1,0.3,1.0,4.9,10.1,.489,1.6,3.9,.414,0.5,0.6,.800
Jaime Jaquez Jr.,MIA,SF,22,75,20,28.2,11.9,3.8,1.1,2.7,2.6,1.0,0.3,1.5,4.5,9.3,.489,0.9,2.7,.322,1.9,2.3,.811
Nic Claxton,BRK,C,24,71,71,29.8,11.8,9.9,2.7,7.2,2.1,0.6,2.1,1.3,5.2,8.2,.629,0.0,0.1,.200,1.5,2.8,.551
Marvin Bagley III,2TM,C,24,50,25,21.1,11.7,6.2,2.6,3.6,1.1,0.4,0.7,1.2,4.8,8.2,.586,0.2,0.5,.391,1.9,2.5,.762
Ivica Zubac,LAC,C,26,68,68,26.4,11.7,9.2,2.9,6.3,1.4,0.3,1.2,1.2,5.0,7.6,.649,0.0,0.0, ,1.8,2.4,.723
Cole Anthony,ORL,PG,23,81,0,22.4,11.6,3.8,0.8,3.0,2.9,0.8,0.5,1.6,4.1,9.4,.435,1.1,3.4,.338,2.2,2.7,.826
Jeremy Sochan,SAS,PF,20,74,73,29.6,11.6,6.4,1.9,4.6,3.4,0.8,0.5,1.9,4.6,10.5,.438,0.9,3.1,.308,1.5,1.9,.771
Clint Capela,ATL,C,29,73,73,25.8,11.5,10.6,4.6,6.0,1.2,0.6,1.5,1.0,4.8,8.5,.571,0.0,0.0,.000,1.8,2.8,.631
Mike Conley,MIN,PG,36,76,76,28.9,11.4,2.9,0.5,2.4,5.9,1.2,0.2,1.3,3.9,8.5,.457,2.4,5.3,.442,1.3,1.5,.911
Malik Beasley,MIL,SG,27,79,77,29.6,11.3,3.7,0.5,3.2,1.4,0.7,0.1,0.7,4.1,9.1,.443,2.8,6.9,.413,0.3,0.4,.714
Brandon Clarke,MEM,PF,27,6,1,22.3,11.3,5.3,2.2,3.2,1.5,0.8,1.0,0.5,5.5,9.8,.559,0.2,1.0,.167,0.2,1.2,.143
Zach Collins,SAS,C,26,69,29,22.1,11.2,5.4,1.7,3.7,2.8,0.5,0.8,1.9,4.3,8.9,.484,0.8,2.6,.320,1.8,2.3,.753
De'Anthony Melton,PHI,SG,25,38,33,26.9,11.1,3.7,0.7,3.0,3.0,1.6,0.4,1.0,3.7,9.5,.386,2.0,5.6,.360,1.7,2.1,.835
